time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120,data121,data122,data123,data124,data125,data126,data127,data128,data129,data130,data131,data132,data133,data134,data135,data136,data137,data138,data139,data140,data141,data142,data143,data144,data145,data146,data147,data148,data149,data150,data151,data152,data153,data154,data155,data156,data157,data158,data159,data160,data161,data162,data163,data164,data165,data166,data167,data168,data169,data170,data171,data172,data173,data174,data175,data176,data177,data178,data179,data180,data181,data182,data183,data184,data185,data186,data187,data188,data189,data190,data191,data192,data193,data194,data195,data196,data197,data198,data199,data200,data201,data202,data203,data204,data205,data206,data207,data208,data209,data210,data211,data212,data213,data214,data215,data216,data217,data218,data219,data220,data221,data222,data223,data224,data225,data226,data227,data228,data229,data230,data231,data232,data233,data234,data235,data236,data237,data238,data239,data240,data241,data242,data243,data244,data245,data246,data247,data248,data249,data250,data251,data252,data253,data254,data255,data256,data257,data258,data259,data260,data261,data262,data263,data264,data265,data266,data267,data268,data269,data270,data271,data272,data273,data274,data275,data276,data277,data278,data279,data280,data281,data282,data283,data284,data285,data286,data287,data288,data289,data290,data291,data292,data293,data294,data295,data296,data297,data298,data299,data300,data301,data302,data303,data304,data305,data306,data307,data308,data309,data310,data311,data312,data313,data314,data315,data316,data317,data318,data319,data320,data321,data322,data323,data324,data325,data326,data327,data328,data329,data330,data331,data332,data333,data334,data335,data336,data337,data338,data339,data340,data341,data342,data343,data344,data345,data346,data347,data348,data349,data350,data351,data352,data353,data354,data355,data356,data357,data358,data359,data360,data361,data362,data363,data364,data365,data366,data367,data368,data369,data370,data371,data372,data373,data374,data375,data376,data377,data378,data379,data380,data381,data382,data383,data384,class
139,83,-80,4,0,0,0,0,0,0,0,-4,2,-16,10,-15,11,-14,11,-13,12,-12,12,-10,11,-9,11,-9,12,-8,12,-8,13,-8,13,-8,13,-8,12,-7,12,-6,13,-5,13,-4,13,-4,13,-3,13,-3,13,-2,14,-2,15,-2,15,-2,16,-1,17,-1,17,-1,8,0,18,1,19,1,19,1,19,1,20,1,20,1,21,1,22,0,23,-1,23,-2,23,-3,23,-4,23,-5,22,-5,22,-6,22,-7,21,-7,20,-8,18,-8,17,-8,16,-8,15,-8,14,-7,12,-7,11,-6,12,-2,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
140,83,-80,4,0,0,0,0,0,0,0,-5,-2,-17,-7,-17,-6,-16,-5,-16,-5,-16,-4,-16,-3,-15,-2,-15,-1,-15,-1,-15,0,-15,1,-16,1,-15,1,-15,1,-15,2,-14,2,-14,3,-13,3,-13,4,-13,5,-14,5,-14,6,-14,6,-14,7,-15,8,-15,8,-8,4,-15,9,-15,9,-15,10,-15,9,-16,10,-16,10,-17,11,-18,11,-19,11,-19,10,-19,9,-20,8,-21,8,-20,7,-20,6,-20,5,-20,5,-19,4,-18,3,-17,2,-17,1,-16,1,-15,1,-14,1,-13,1,-12,1,-3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
141,83,-80,4,0,0,0,0,0,0,0,1,0,7,0,6,0,6,0,6,-1,6,-1,6,-1,5,-1,5,-1,5,-1,5,-2,5,-2,5,-2,5,-2,5,-2,5,-3,5,-3,4,-3,4,-3,4,-3,4,-3,4,-3,4,-4,4,-4,4,-4,4,-5,4,-5,2,-3,4,-6,4,-6,4,-6,4,-6,4,-6,4,-6,4,-7,4,-7,5,-7,5,-7,5,-7,6,-6,6,-6,6,-6,6,-6,7,-5,7,-5,6,-4,6,-4,6,-4,6,-3,6,-3,5,-3,5,-3,4,-3,5,-3,1,-1,0,0,0,0,0,0,0,0,0,0,2,1,15,5,15,5,15,4,15,3,13,1,13,0,13,0,12,0,11,-1,11,-1,11,-2,10,-2,10,-3,10,-3,10,-3,10,-3,10,-3,9,-4,9,-4,9,-5,8,-5,7,-6,7,-6,7,-6,8,-6,7,-7,7,-7,7,-8,7,-9,8,-9,8,-9,7,-9,7,-10,7,-10,7,-11,7,-11,8,-12,8,-12,9,-12,9,-12,10,-13,10,-12,11,-12,12,-12,12,-11,12,-11,12,-10,12,-9,12,-8,11,-7,11,-6,11,-6,10,-5,10,-5,9,-5,9,-5,10,-5,2,-2,0,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,7,8,25,27,24,29,24,32,22,34,20,36,18,37,15,38,13,39,11,41,8,42,5,43,3,42,1,42,-1,41,-1,40,-2,38,-2,36,-3,35,-3,34,-4,33,-4,33,-4,33,-4,32,-5,32,-5,32,-5,32,-6,32,-5,29,-4,29,-3,29,-3,29,-3,29,-3,29,-3,29,-2,30,-2,30,-2,30,-2,30,-2,30,-2,31,-2,31,-3,31,-3,30,-4,30,-4,29,-4,28,-5,28,-6,27,-7,27,-7,26,-8,25,-8,24,-8,23,-8,22,-8,21,-8,20,-8,20,-2,3,dr
142,83,-80,4,0,0,0,0,0,0,0,-4,3,-14,13,-13,14,-12,14,-11,14,-10,14,-9,13,-9,13,-8,14,-7,14,-7,15,-7,15,-7,15,-7,15,-6,14,-5,14,-3,14,-2,14,-2,14,-1,14,-1,15,0,15,1,16,0,16,0,16,1,17,2,17,1,8,2,18,3,18,4,19,4,19,4,19,4,20,4,21,4,22,4,23,3,23,1,24,-1,23,-2,23,-1,23,-1,23,-2,22,-3,22,-4,21,-4,19,-4,18,-4,17,-5,16,-5,15,-6,14,-6,13,-6,13,-2,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
143,83,-80,4,0,0,0,0,0,0,0,2,-5,9,-19,8,-18,7,-18,5,-18,4,-17,4,-16,3,-16,2,-16,2,-16,1,-17,0,-17,0,-17,-1,-17,-1,-16,-1,-16,-1,-16,-2,-15,-3,-14,-3,-14,-4,-15,-5,-16,-5,-16,-5,-16,-6,-16,-7,-17,-7,-18,-4,-9,-8,-19,-8,-19,-8,-19,-8,-19,-8,-19,-8,-20,-9,-21,-9,-22,-8,-22,-8,-23,-7,-23,-6,-23,-5,-23,-4,-23,-3,-22,-3,-22,-2,-22,-1,-21,0,-20,1,-19,1,-19,2,-18,1,-16,1,-16,1,-15,1,-13,0,-4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
144,83,-80,4,0,0,0,0,0,0,0,-5,-1,-19,-3,-19,-2,-18,-1,-18,0,-17,0,-17,0,-16,1,-16,1,-16,2,-16,2,-16,2,-16,3,-16,3,-16,3,-15,3,-14,4,-14,4,-13,4,-13,5,-13,6,-13,6,-13,6,-13,6,-13,7,-14,8,-15,9,-8,4,-14,9,-14,10,-14,11,-14,11,-14,11,-15,12,-16,12,-17,12,-18,12,-18,12,-19,11,-19,10,-20,9,-20,8,-20,7,-20,7,-20,6,-19,5,-18,4,-18,3,-17,2,-16,2,-15,2,-14,1,-14,1,-14,2,-4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
145,83,-80,4,0,0,0,0,0,0,0,-4,-4,-13,-16,-13,-16,-14,-15,-14,-14,-14,-13,-14,-12,-14,-12,-14,-11,-15,-11,-15,-11,-16,-11,-16,-11,-16,-11,-15,-11,-15,-10,-16,-9,-15,-8,-15,-8,-15,-7,-16,-7,-16,-6,-16,-6,-16,-7,-17,-7,-18,-6,-18,-6,-10,-3,-19,-5,-19,-5,-20,-4,-19,-4,-20,-5,-21,-5,-22,-5,-22,-6,-23,-6,-23,-6,-22,-7,-22,-9,-22,-10,-22,-10,-21,-10,-21,-11,-20,-11,-18,-12,-17,-12,-16,-12,-15,-12,-14,-12,-13,-11,-12,-11,-12,-10,-11,-9,-3,-2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
146,83,-80,4,0,0,0,0,0,0,0,-2,1,-6,4,-5,4,-5,4,-5,4,-4,4,-4,4,-4,4,-3,4,-3,4,-3,4,-3,4,-3,4,-3,4,-3,4,-2,4,-2,5,-1,5,-1,5,-1,5,-1,5,-1,5,-1,5,-1,5,0,6,0,6,0,6,0,3,0,6,0,6,0,7,1,7,0,7,0,7,0,8,0,8,0,8,0,8,0,8,-1,8,-2,8,-2,8,-2,8,-2,8,-2,8,-3,7,-3,7,-3,6,-3,6,-3,5,-3,5,-3,5,-3,5,-3,5,-1,1,0,0,0,0,0,0,0,0,-1,0,-3,2,-12,12,-12,12,-11,11,-9,10,-9,9,-9,9,-8,9,-7,9,-7,9,-6,9,-6,9,-5,9,-5,9,-5,9,-4,9,-4,9,-4,9,-3,9,-2,9,-2,9,-1,9,0,9,0,9,0,9,0,10,0,10,1,10,1,10,2,11,2,11,4,11,2,11,2,11,2,12,3,12,3,13,3,13,4,14,3,15,3,15,3,15,2,16,1,16,0,16,0,16,-1,15,-1,15,-2,15,-3,14,-3,13,-3,12,-4,12,-5,11,-4,10,-4,9,-3,10,-3,10,-1,3,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-10,3,-37,11,-39,9,-41,7,-44,5,-44,3,-44,0,-44,-4,-44,-7,-45,-10,-45,-13,-44,-15,-43,-17,-41,-19,-38,-20,-37,-20,-36,-20,-35,-21,-33,-21,-31,-20,-29,-22,-29,-22,-29,-22,-28,-21,-28,-22,-28,-22,-28,-21,-28,-18,-25,-20,-25,-19,-25,-19,-25,-19,-25,-19,-25,-20,-25,-19,-26,-19,-26,-18,-26,-18,-26,-18,-26,-18,-26,-18,-26,-19,-26,-19,-25,-20,-24,-20,-23,-20,-22,-20,-21,-20,-20,-21,-19,-21,-19,-21,-18,-20,-17,-20,-16,-20,-17,-18,-17,-18,-17,-17,-16,-16,-3,-2,dr
147,83,-80,4,0,0,0,0,0,0,0,1,-5,4,-20,3,-19,2,-19,1,-19,1,-18,1,-18,0,-18,0,-18,-1,-18,-1,-18,-2,-19,-2,-18,-2,-18,-2,-17,-2,-17,-3,-17,-4,-16,-4,-16,-5,-16,-5,-16,-6,-16,-6,-16,-6,-17,-7,-17,-8,-17,-8,-17,-4,-9,-9,-18,-10,-18,-10,-18,-10,-18,-10,-19,-10,-19,-10,-20,-10,-21,-10,-22,-10,-22,-9,-22,-8,-23,-7,-23,-7,-23,-6,-23,-5,-23,-4,-23,-2,-22,-1,-21,-1,-20,-1,-19,0,-18,0,-17,0,-17,0,-15,1,-14,0,-4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
148,83,-80,4,0,0,0,0,0,0,0,-4,-3,-16,-11,-16,-10,-16,-10,-16,-9,-16,-7,-15,-6,-15,-6,-16,-5,-16,-4,-16,-4,-16,-3,-16,-2,-16,-2,-16,-2,-16,-2,-15,0,-15,0,-15,1,-15,1,-15,2,-16,2,-16,3,-16,4,-17,4,-18,5,-18,5,-9,2,-18,6,-19,6,-19,7,-19,7,-19,7,-21,7,-22,7,-22,7,-23,7,-23,7,-23,6,-24,5,-24,4,-24,3,-23,2,-23,1,-23,0,-21,-1,-20,-2,-20,-3,-19,-3,-18,-3,-17,-3,-16,-3,-15,-3,-14,-1,-4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
149,83,-80,4,0,0,0,0,0,0,0,1,-3,7,-9,6,-6,7,-5,8,-6,7,-6,6,-6,5,-6,3,-5,2,-5,2,-6,2,-7,3,-7,3,-6,3,-6,2,-6,2,-7,1,-7,1,-7,1,-7,1,-6,0,-6,0,-7,0,-7,0,-8,0,-8,-1,-7,-1,-4,-1,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-9,-2,-9,-2,-9,-2,-9,-2,-10,-2,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-9,-1,-9,0,-9,0,-9,0,-8,0,-8,0,-7,1,-7,1,-7,0,-7,0,-6,-1,-2,0,0,0,0,0,0,0,0,-1,-1,3,-2,26,-8,20,-12,15,-17,9,-19,9,-14,8,-10,11,-10,11,-14,10,-14,10,-13,8,-14,7,-13,6,-11,6,-10,6,-11,5,-12,5,-12,5,-11,5,-11,4,-12,3,-13,2,-13,2,-13,1,-12,2,-13,1,-13,0,-13,0,-14,-1,-14,-1,-14,-2,-15,-2,-15,-2,-15,-2,-15,-2,-15,-2,-16,-3,-16,-3,-17,-3,-17,-3,-18,-3,-18,-2,-18,-1,-19,-1,-19,0,-18,0,-18,1,-18,2,-17,2,-16,2,-15,3,-14,3,-14,3,-13,3,-12,3,-11,2,-11,0,-10,-1,-3,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,9,2,38,12,38,13,40,16,40,19,39,21,37,24,36,26,36,28,35,31,33,34,30,35,29,36,28,36,25,37,22,37,21,36,21,35,19,34,17,33,17,33,17,33,17,33,16,32,15,32,15,32,16,31,23,26,14,29,15,29,16,28,16,27,15,28,15,28,16,27,19,28,20,27,20,27,18,28,17,29,19,29,19,28,18,28,18,29,18,30,17,29,18,28,16,26,14,24,12,24,11,23,11,23,8,26,7,27,10,27,4,24,6,27,11,27,1,3,dr
150,83,-80,4,0,0,0,0,0,0,0,-5,-3,-19,-10,-19,-10,-21,-10,-20,-9,-15,-8,-13,-7,-14,-4,-16,-3,-15,-3,-16,-3,-19,-1,-20,0,-19,0,-19,0,-17,2,-14,2,-15,1,-16,2,-18,3,-18,4,-19,5,-19,6,-18,5,-18,5,-21,5,-21,6,-11,3,-24,8,-21,10,-19,11,-20,12,-23,11,-23,10,-23,10,-25,10,-25,9,-24,9,-25,10,-25,9,-25,8,-26,7,-25,6,-24,6,-24,5,-23,3,-22,1,-21,0,-21,0,-20,-1,-19,0,-18,1,-16,0,-16,-1,-4,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
151,83,-80,4,0,0,0,0,0,0,0,-1,1,-1,7,-1,7,-1,7,-1,7,-1,7,0,6,0,6,0,6,0,6,1,6,1,6,1,6,1,6,1,5,1,5,1,5,2,5,2,4,2,4,2,4,2,4,3,5,3,4,3,4,3,4,4,4,2,2,4,4,4,4,5,4,5,4,5,4,5,4,5,5,6,5,6,5,6,5,5,6,5,6,5,6,5,6,5,6,4,6,4,7,3,7,3,7,3,6,2,6,2,6,2,6,1,5,1,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,17,4,16,4,15,5,13,1,13,2,12,3,12,3,12,3,11,3,11,4,10,4,10,4,10,5,10,5,10,5,10,5,10,5,9,5,8,5,8,6,7,6,6,6,6,6,7,7,7,7,7,8,6,8,6,9,6,9,6,11,4,9,5,10,5,10,5,10,5,11,5,11,5,12,6,12,6,13,6,13,7,13,7,13,8,12,8,12,9,11,9,11,9,10,10,9,10,8,10,8,10,7,10,6,9,5,9,5,9,4,8,4,7,1,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,0,-1,-1,1,-5,9,-17,31,-18,31,-21,31,-24,31,-27,29,-29,28,-30,26,-32,25,-35,23,-37,21,-38,18,-38,16,-38,14,-37,12,-37,11,-36,10,-35,10,-33,9,-32,8,-33,6,-33,6,-33,6,-32,6,-32,5,-32,5,-32,5,-29,15,-29,5,-29,6,-28,6,-28,6,-28,6,-29,6,-29,6,-29,7,-29,7,-29,8,-29,7,-29,7,-29,7,-30,7,-30,7,-30,7,-29,5,-29,5,-28,4,-28,3,-28,2,-28,1,-27,1,-27,0,-26,0,-25,-1,-24,6,-24,6,-23,6,-23,6,-4,1,dr
152,83,-80,4,0,0,0,0,0,0,0,3,-3,13,-12,13,-12,12,-12,12,-12,11,-12,10,-12,9,-12,9,-13,9,-13,8,-13,8,-14,8,-14,8,-14,8,-13,7,-13,6,-13,5,-13,5,-13,4,-14,4,-14,4,-14,4,-14,3,-14,3,-15,3,-16,2,-17,1,-9,1,-18,1,-18,1,-18,1,-18,1,-18,1,-19,2,-20,3,-21,3,-21,3,-21,4,-21,5,-22,6,-22,7,-22,7,-20,8,-20,9,-19,9,-18,9,-16,9,-15,9,-14,9,-13,9,-13,9,-12,8,-11,7,-12,1,-3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
153,83,-80,4,0,0,0,0,0,0,0,4,-3,16,-8,15,-9,15,-10,14,-11,13,-10,13,-10,12,-10,11,-11,11,-11,11,-12,11,-12,11,-12,11,-11,10,-11,9,-12,8,-13,7,-13,7,-13,6,-13,6,-13,5,-14,5,-14,6,-14,6,-14,6,-15,5,-15,2,-8,4,-16,3,-17,3,-18,3,-18,3,-18,3,-19,3,-20,4,-21,4,-21,5,-22,7,-22,8,-20,9,-20,8,-20,8,-19,8,-19,9,-19,9,-17,10,-16,10,-15,9,-14,9,-13,9,-12,9,-11,9,-10,7,-8,1,-2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
154,83,-80,4,0,0,0,0,0,0,0,-2,1,-5,5,-5,5,-5,5,-5,5,-4,5,-4,5,-3,5,-3,5,-3,5,-2,5,-2,5,-2,5,-2,5,-2,5,-1,5,0,5,0,5,0,5,0,5,1,6,1,6,1,6,1,6,1,6,1,6,2,6,1,3,2,7,2,7,2,7,3,7,3,7,3,8,3,8,2,8,3,9,3,9,2,9,1,9,1,9,1,9,1,9,0,9,0,9,0,9,-1,8,-1,7,-2,7,-2,6,-2,6,-2,6,-2,6,-1,6,0,1,0,0,0,0,0,0,0,0,-2,0,-3,2,-13,15,-12,14,-10,14,-9,13,-9,11,-8,11,-7,11,-7,11,-6,10,-5,10,-4,10,-4,10,-4,11,-3,11,-3,11,-2,10,-2,11,-1,11,-1,10,0,10,1,10,2,10,2,10,2,10,2,11,3,11,3,11,3,11,4,11,5,12,6,11,5,11,5,12,6,12,6,12,6,13,6,14,7,14,7,15,6,16,6,16,6,17,4,18,4,18,3,18,3,17,2,17,1,16,0,16,-1,15,-1,14,-2,13,-2,13,-2,11,-2,11,-2,10,0,9,0,2,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,1,-1,0,-1,-2,1,-12,5,-40,18,-42,17,-44,16,-46,14,-47,10,-48,7,-49,4,-49,1,-50,-2,-51,-6,-50,-9,-49,-12,-47,-14,-46,-15,-44,-16,-43,-16,-41,-16,-39,-17,-37,-17,-36,-18,-36,-18,-36,-18,-35,-19,-34,-19,-34,-19,-34,-19,-35,-15,-31,-17,-31,-17,-32,-16,-31,-16,-31,-16,-31,-16,-31,-16,-31,-15,-32,-15,-32,-15,-32,-15,-32,-16,-32,-16,-32,-16,-32,-16,-31,-17,-31,-17,-30,-17,-29,-17,-28,-17,-27,-18,-26,-19,-25,-19,-24,-19,-22,-20,-21,-19,-22,-18,-21,-17,-21,-16,-21,-15,-4,-3,dr
155,83,-80,4,0,0,0,0,0,0,0,3,3,15,12,15,11,15,10,16,9,16,8,15,7,15,7,16,6,16,6,16,5,16,5,17,5,16,4,16,4,16,3,15,3,15,2,14,1,14,1,15,0,15,0,16,-1,15,-1,16,-2,17,-3,18,-3,9,-2,18,-4,18,-5,19,-5,19,-5,20,-5,21,-5,21,-5,22,-4,23,-4,23,-4,23,-3,24,-2,24,-1,24,0,23,1,23,2,22,2,21,3,20,4,19,5,18,5,16,5,15,5,14,5,13,4,13,3,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dr
156,83,-80,4,0,0,0,0,0,0,0,1,0,5,3,5,3,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,4,-1,5,-1,4,-1,4,-1,4,-2,4,-2,4,-2,5,-2,5,-2,5,-2,5,-3,5,-3,5,-4,2,-2,5,-4,5,-4,5,-4,6,-5,6,-4,6,-4,6,-4,7,-4,7,-4,8,-4,8,-4,8,-4,8,-3,8,-3,8,-3,8,-3,8,-2,7,-2,6,-1,6,-1,7,0,6,0,6,0,5,0,5,0,5,-1,1,-1,0,0,0,0,0,0,0,0,0,0,2,0,16,4,15,3,14,2,14,1,11,3,11,2,11,2,11,1,10,1,10,0,10,0,10,-1,10,-1,10,-2,10,-2,9,-2,9,-2,8,-3,8,-4,8,-4,7,-5,7,-5,7,-6,8,-6,8,-6,8,-7,8,-7,8,-8,8,-8,8,-9,6,-11,7,-9,8,-10,8,-10,8,-10,9,-10,9,-10,10,-10,10,-11,11,-11,12,-11,12,-10,13,-10,13,-9,14,-9,13,-9,13,-8,13,-7,13,-6,12,-5,12,-4,12,-3,11,-3,10,-3,9,-3,8,-3,8,-4,2,-2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,1,0,8,7,26,27,26,29,25,32,24,34,21,36,18,38,16,39,13,41,11,42,8,44,6,44,3,44,1,42,0,41,-2,40,-3,39,-3,37,-4,36,-5,35,-6,34,-6,34,-6,33,-7,33,-7,32,-7,32,-7,32,-1,32,-7,29,-6,29,-6,29,-5,29,-6,29,-6,29,-6,29,-5,29,-4,29,-4,30,-4,29,-4,29,-5,29,-5,29,-5,29,-5,29,-6,28,-7,27,-7,27,-8,26,-9,25,-10,25,-10,24,-10,23,-11,22,-10,20,-6,22,-5,21,-5,21,-5,21,-1,3,dr
